,name,estab_year,employees_count,location,designation,hr_name,skills
26,Persistent Systems,Founded in 1990,More than 1000 employees,Pune,Data Analyst,Tanvi Kamble,"Data Analysis,Healthcare,SQL,Business Analysis"
27,Persistent Systems,Founded in 1990,More than 1000 employees,Hyderabad,Data Analyst,Aakanksha Mishra,"Data Analysis,Healthcare,SQL,Business Intelligence,Business Analysis"
28,Persistent Systems,Founded in 1990,More than 1000 employees,Noida,Software Engineer,Roshani Totwani,".NET,React.js,ASP.NET,JavaScript,HTML"
29,The Famous,Founded in 2021,0 - 10 employees,Ahmedabad,Business Development Executive,Dhara Raval,"Lead Generation,Business Development,International Sales"
30,Bigyellowfish,Founded in 2018,10 - 50 employees,Bangalore,Backend Developer,Ankita Sharma,C#
31,Bristol Myers Squibb,Founded in 1887,More than 1000 employees,Hyderabad,Software Engineer II - API and AWS Senior Developer,Suvidha Karkal,"Python,AWS,Amazon API Gateway,Amazon DynamoDB,Java"
32,FedEx,Founded in 1973,More than 1000 employees,Hyderabad,Full Stack Developer II,Suvidha Karkal,"Java,Angular,Azure,AWS,Cloud Foundry"
33,Flash,Founded in 2022,10 - 50 employees,Bangalore,Product Manager,Priyanka Poonia,"Product Lifecycle Management,Figma,Product Marketing,Data Analysis,Google Analytics"
34,LTIMindtree,Founded in 1996,More than 1000 employees,Hyderabad,Snowflake Architect,Bhaskar Anand,"Snowflake,Solution Architecture,SQL,Risk Management,Data Structures"
35,MUFG,Founded in 1900,More than 1000 employees,Bangalore,CISO / IT Risk Manager - AVP,Suvidha Karkal,"Information Security,Risk Management,Data Privacy,CISA,Architecture"
36,Nitara,Founded in 2017,50 - 200 employees,Bangalore,Dot .NET Backend Developer,Yogini Bazaz,".NET,Microservices,JavaScript,Angular"
37,Presto Infosolutions,Founded in 2005,50 - 200 employees,Delhi,Technical Project Manager,Ojaswi Goyal,"ITIL,PMP,Java,.NET,Service Delivery"
38,Stixis Technologies,Founded in 2009,50 - 200 employees,Bangalore,Golang Developer,Monisha M,"Golang,Kafka,Microservices,Kubernetes,CI - CD"
39,Yiron Technologies,Founded in 2015,50 - 200 employees,Chandigarh,Full Stack Developer & Lead - Java,Saba Ansari,"JavaScript,Spring,FrameMaker,HTML,CSS"
40,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Data Engineer,Manju Kumari,"Azure Data Factory,ETL,PySpark,Data Modelling,Data Warehousing"
41,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Data Test Engineer,Manju Kumari,Databricks
42,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Full Stack Developer - .NET,Manju Kumari,"C#,.NET,Azure,Angular,TypeScript"
43,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Full Stack Developer - .NET,Manju Kumari,"C#,.NET,TypeScript,Azure,Angular"
44,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Java Developer,Manju Kumari,"Java,Spring Boot,Data Structures"
45,Asentech,Founded in 2007,50 - 200 employees,Pune,Sitecore Developer,Saba Ansari,".NET,Sitecore,ADO.NET,ASP.NET,JavaScript"
46,Cholamandalam MS General Insurance,Founded in 2001,500 - 1000 employees,Chennai,Engineering Lead - Mobile,Ankita Nayak,"Java,React Native,Spring Boot,Android,iOS"
47,Fintellix Solutions,Founded in 2008,200 - 500 employees,Bangalore,QA Engineer,Consult Bae,"Manual Testing,SQL,API Testing,JMeter,Quality Assurance"
48,Genpact,Founded in 1997,More than 1000 employees,Bangalore,IDQ / IPC Developer,Arpita Dey,"IDQ,IPC,Customer Interaction,Informatica PowerCenter,Informatica"
49,Tao Digital Solutions,Founded in 2022,200 - 500 employees,Bangalore,Backend Developer - .NET,Shivkumar Gurram,".NET,AWS,Kafka,Kubernetes,Docker"
50,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,.NET Full Stack,Deepika Kangokar,".NET,Azure,Angular,SQL"
51,AND Academy,Founded in 2021,10 - 50 employees,Delhi,Admission Counsellor,Hiba Firoz,"Sales,Business Development,Direct Sales,Telecalling,Counselling"
52,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Software Development Engineer,Kalaivani K,"Java,AWS,Kafka,MySQL,Microservices"
53,goGlocal,Founded in 2021,10 - 50 employees,Mumbai,Senior Backend Engineer,Kreesha Shah,"Python,Django"
54,LTIMindtree,Founded in 1996,More than 1000 employees,Hyderabad,C++ Developer,Bhaskar Anand,"C++,AB Testing"
55,MyBillBook (FloBiz),Founded in 2019,200 - 500 employees,Bangalore,Product Designer,Hr,"C++,AB Testing"
56,Pegasystems,Founded in 1983,More than 1000 employees,Hyderabad,Senior Application Architect,Mihir Chaddarwala,"Golang,Java,Python,Spring"
57,Persistent Systems,Founded in 1990,More than 1000 employees,Bangalore,Salesforce Developer - Lead,Tanvi Kamble,"Salesforce,Lightning,Apex"
58,slice,Founded in 2016,More than 1000 employees,Bangalore,Business Analyst (Credit Risk),Neetika Thakur,"Microsoft Excel,Python,R,SQL"
59,TLC Relationship Management,Founded in 2002,500 - 1000 employees,Delhi,Node.js Developer,Arshi Malik,"Node.js,React.js,.NET,Serverless Framework,PHP"
60,Cohesity,Founded in 2013,More than 1000 employees,Bangalore,Senior Engineering Manager,Bidyut Ganguly,"C++,Golang,Java,Scala"
61,Digit Insurance,Founded in 2016,500 - 1000 employees,Bangalore,Senior Software Developer,Gurleen Kaur Sudan,"Java,Data Structures,Spring,Algorithms,Microservices"
62,Inspire Brands,Founded in 2018,More than 1000 employees,Hyderabad,HRIS Analyst,Roopini Raghul,"HRIS,US Payroll,Workday,Compensation Management,Attendance Management"
63,Learning Shala,Founded in 2018,50 - 200 employees,Delhi,HR Recruiter,Ankita Singh,Recruitment
64,Leucine,Founded in 2017,10 - 50 employees,Mumbai,Webflow Designer,Kartik Singh,"Figma,Zeplin,Webflow"
65,PhonePe,Founded in 2015,More than 1000 employees,Navi Mumbai,Site Operations Engineer,Esha Jain,Linux
66,PhysicsWallah,Founded in 2014,More than 1000 employees,Jodhpur,Product Manager,Kajal Sharma,"Product Management,Wireframing,Microsoft Excel,SQL,Agile"
67,SatSure,Founded in 2017,50 - 200 employees,Mumbai,Senior KAM Enterprise Sales - Banking,Rohit Gupta,"Key Account Management,Corporate Sales,Business Development,Loans,Corporate Strategy"
68,Scope Retail Systems,Founded in 2017,0 - 10 employees,Pune,UI Developer,Preksha Trivedi,"JavaScript,CSS,HTML,React.js,Angular"
69,Tesco,Founded in 2004,More than 1000 employees,Bangalore,SDE 2,Soumitra Jena,"Data Analysis,Hadoop,Hive,Pig,SQL,Spark"
70,Fintellix Solutions,Founded in 2008,200 - 500 employees,Bangalore,Frontend Developer,Consult Bae,"React.js,JavaScript,HTML,CSS"
71,Flipkart,Founded in 2007,More than 1000 employees,Bangalore,Principal Software Engineer,Emily Mondal,"Python,Golang"
72,Horizon Broadband,Founded in 2018,10 - 50 employees,Bangalore,iOS Developer,Pradeep Yadav,"Swift,SwiftUI,BIOS,Data Structures,InVision"
73,IndiaMART InterMESH,Founded in 1999,More than 1000 employees,Hyderabad,Regional Manager,Meenakshi Ladha,Sales
74,Inspire Brands,Founded in 2018,More than 1000 employees,Hyderabad,HRIS - Team Lead,Suvidha Karkal,"HRIS,Workday,Workday HCM,Human Capital Management"
75,Persistent Systems,Founded in 1990,More than 1000 employees,Bangalore,Salesforce Developer,Aakanksha Mishra,"Salesforce,Lightning Web Components,Apex"
76,Persistent Systems,Founded in 1990,More than 1000 employees,Hyderabad,Salesforce Developer,Aakanksha Mishra,"Salesforce,Lightning Web Components"
77,Persistent Systems,Founded in 1990,More than 1000 employees,Jaipur,Salesforce Developer,Aakanksha Mishra,"Salesforce,Lightning Web Components"
78,Scaler Academy,Founded in 2019,50 - 200 employees,Bangalore,Assistant Manager - Data Analytics,Aaliya Baxamusa,"Microsoft Excel,Power BI,Python,SQL,Tableau"
79,Turtlemint,Founded in 2015,More than 1000 employees,Mumbai,Data Analyst,Srishti Rai,"SQL,Tableau,Mixpanel,R,Microsoft Excel"
80,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Director - Product Design,Diptiranjan Pradhan,"SQL,Tableau,Mixpanel,R,Microsoft Excel"
81,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Information Security Engineer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
82,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Senior Product Designer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
83,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Lead Software Development Engineer,Raveendra Banoth,"Java,React.js,AWS,Spring Boot,PostgreSQL"
84,Bizongo,Founded in 2014,200 - 500 employees,Bangalore,Senior Data Scientist,Alisha Mehta,"Computer Vision,Data Mining,Java,Machine Learning,NLP,Python"
85,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analyst,Aarthi P,"Data Analysis,SQL,Python,Tableau,Credit Risk Management"
86,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analytics and Strategy,Preksha Trivedi,"Data Analysis,SQL,Python,Tableau"
87,Plivo,Founded in 2011,50 - 200 employees,Bangalore,Software Development Engineer in Test - 1,Monica Murali,"Automation Testing,Manual Testing,Performance Testing,SDET,Cucumber,Java,JavaScript,JMeter,Python,Selenium"
88,Silicon Stack,Founded in 2016,,Pune,Cloud API Developer,Swatee Paithankar,"Azure,.NET,C#,Cloud Computing,Docker"
89,Think360 Studio,Founded in 2010,10 - 50 employees,Chandigarh,IT Business Development Manager,Shivani Thakur,"Business Development,Sales"
90,Archiroots,Founded in 2020,10 - 50 employees,Noida,Customer Service Executive,Zaid Khan,"Customer Service,Customer Relationship,Customer Interaction,Sales,Telecalling"
91,BYJU'S,Founded in 2011,More than 1000 employees,Bangalore,Technical Lead - MS Dynamics,Varshini R,"Microsoft Dynamics,Microsoft Power Apps"
92,EY,Founded in 1989,More than 1000 employees,Bangalore,DATA Modeler,Namrata Dutta,"Data Modelling,Azure Data Lake,Data Warehousing,erwin,Data Structures"
93,EY,Founded in 1989,More than 1000 employees,Bangalore,Release TRAIN Engineer,Namrata Dutta,"Agile,Scrum,Release Management,Risk Management,Stakeholder Management"
94,IBM,Founded in 1911,More than 1000 employees,Bangalore,AWS Architect / Lead Engineer,Nisha M,"AWS,Amazon Redshift,Python,PySpark,SQL"
95,Silicon Stack,Founded in 2016,,Pune,Mobile Application Developer,Swatee Paithankar,"TypeScript,React Native,Android,Objective-C,iOS"
96,UniCourt India,Founded in 2011,50 - 200 employees,Mangalore,Senior Python Developer,Anuroop Kumar,"Python,Django,Flask"
97,Viacom18,Founded in 2007,More than 1000 employees,Bangalore,iOS Developer,Ambe Diwakar,"iOS,IPTV,DRM,Objective-C,ARKit"
98,VMware,Founded in 1998,More than 1000 employees,"Bangalore, Chennai, Pune",Senior and Lead C++ Developer,Amit Kumar,C++
99,Wayfair,Founded in 2002,More than 1000 employees,Bangalore,"Staff Engineer, - Service Mesh",Ashwin Emmanuel,ServiceNow
100,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Director - Product Design,Diptiranjan Pradhan,ServiceNow
101,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Information Security Engineer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
102,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Senior Product Designer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
103,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Lead Software Development Engineer,Raveendra Banoth,"Java,React.js,AWS,Spring Boot,PostgreSQL"
104,Bizongo,Founded in 2014,200 - 500 employees,Bangalore,Senior Data Scientist,Alisha Mehta,"Computer Vision,Data Mining,Java,Machine Learning,NLP,Python"
105,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analyst,Aarthi P,"Data Analysis,SQL,Python,Tableau,Credit Risk Management"
106,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analytics and Strategy,Preksha Trivedi,"Data Analysis,SQL,Python,Tableau"
107,Plivo,Founded in 2011,50 - 200 employees,Bangalore,Software Development Engineer in Test - 1,Monica Murali,"Automation Testing,Manual Testing,Performance Testing,SDET,Cucumber,Java,JavaScript,JMeter,Python,Selenium"
108,Silicon Stack,Founded in 2016,,Pune,Cloud API Developer,Swatee Paithankar,"Azure,.NET,C#,Cloud Computing,Docker"
109,Think360 Studio,Founded in 2010,10 - 50 employees,Chandigarh,IT Business Development Manager,Shivani Thakur,"Business Development,Sales"
110,Allen Career Institute,Founded in 1988,More than 1000 employees,Bangalore,Engineering Manager,Shridevi Gumaste,"Java,Python,Data Structures,Algorithms"
111,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Software Development Engineer,Hemamalini N,"Java,AWS,Angular,React.js,Kafka"
112,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,Senior HR Manager,Swapnil Nautiyal,"Recruitment,Employee Engagement,Performance Management,HR Operations,HR Policies"
113,EY,Founded in 1989,More than 1000 employees,Bangalore,AWS LEAD Engineer,Namrata Dutta,"AWS,Python,AWS Lambda,AWS Glue,Big Data"
114,Nykaa,Founded in 2012,200 - 500 employees,Bangalore,DevOps Engineer,Surbhi Kumari,"DevOps,AWS,Kubernetes"
115,Persistent Systems,Founded in 1990,More than 1000 employees,Pune,.NET Core React Developer,Tanvi Kamble,".NET,React.js"
116,Presto Infosolutions,Founded in 2005,50 - 200 employees,Delhi,.NET - Lead,Ojaswi Goyal,".NET,ASP.NET,C#,WCF,MySQL"
117,Presto Infosolutions,Founded in 2005,50 - 200 employees,Delhi,Java Developer,Muskan Sonkhla,"Java,HTML,Angular,Spring,Hibernate"
118,Trivialworks Solutions,Founded in 2011,50 - 200 employees,Lucknow,Node.js Developer,Somesh Parashar,"Node.js,Express.js"
119,Verbat Technologies,Founded in 1999,10 - 50 employees,Trivandrum,Dotnet Developer,Talent Acquisition Team,"ASP.NET,C#,JavaScript,jQuery"
120,Archiroots,Founded in 2020,10 - 50 employees,Noida,Customer Service Executive,Zaid Khan,"Customer Service,Customer Relationship,Customer Interaction,Sales,Telecalling"
121,BYJU'S,Founded in 2011,More than 1000 employees,Bangalore,Technical Lead - MS Dynamics,Varshini R,"Microsoft Dynamics,Microsoft Power Apps"
122,EY,Founded in 1989,More than 1000 employees,Bangalore,DATA Modeler,Namrata Dutta,"Data Modelling,Azure Data Lake,Data Warehousing,erwin,Data Structures"
123,EY,Founded in 1989,More than 1000 employees,Bangalore,Release TRAIN Engineer,Namrata Dutta,"Agile,Scrum,Release Management,Risk Management,Stakeholder Management"
124,IBM,Founded in 1911,More than 1000 employees,Bangalore,AWS Architect / Lead Engineer,Nisha M,"AWS,Amazon Redshift,Python,PySpark,SQL"
125,Silicon Stack,Founded in 2016,,Pune,Mobile Application Developer,Swatee Paithankar,"TypeScript,React Native,Android,Objective-C,iOS"
126,UniCourt India,Founded in 2011,50 - 200 employees,Mangalore,Senior Python Developer,Anuroop Kumar,"Python,Django,Flask"
127,Viacom18,Founded in 2007,More than 1000 employees,Bangalore,iOS Developer,Ambe Diwakar,"iOS,IPTV,DRM,Objective-C,ARKit"
128,VMware,Founded in 1998,More than 1000 employees,"Bangalore, Chennai, Pune",Senior and Lead C++ Developer,Amit Kumar,C++
129,Wayfair,Founded in 2002,More than 1000 employees,Bangalore,"Staff Engineer, - Service Mesh",Ashwin Emmanuel,ServiceNow
130,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Director - Product Design,Diptiranjan Pradhan,ServiceNow
131,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Information Security Engineer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
132,Acko,Founded in 2017,500 - 1000 employees,Bangalore,Senior Product Designer,Diptiranjan Pradhan,"Application Security,Cloud Security,Information Security,Network Security"
133,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Lead Software Development Engineer,Raveendra Banoth,"Java,React.js,AWS,Spring Boot,PostgreSQL"
134,Bizongo,Founded in 2014,200 - 500 employees,Bangalore,Senior Data Scientist,Alisha Mehta,"Computer Vision,Data Mining,Java,Machine Learning,NLP,Python"
135,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analyst,Aarthi P,"Data Analysis,SQL,Python,Tableau,Credit Risk Management"
136,CASHe,Founded in 2016,200 - 500 employees,Mumbai,Collection Analytics and Strategy,Preksha Trivedi,"Data Analysis,SQL,Python,Tableau"
137,Plivo,Founded in 2011,50 - 200 employees,Bangalore,Software Development Engineer in Test - 1,Monica Murali,"Automation Testing,Manual Testing,Performance Testing,SDET,Cucumber,Java,JavaScript,JMeter,Python,Selenium"
138,Silicon Stack,Founded in 2016,,Pune,Cloud API Developer,Swatee Paithankar,"Azure,.NET,C#,Cloud Computing,Docker"
139,Think360 Studio,Founded in 2010,10 - 50 employees,Chandigarh,IT Business Development Manager,Shivani Thakur,"Business Development,Sales"
140,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Machine Learning Engineer,Manju Kumari,"Python,Machine Learning,Flask,Django"
141,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Xamarin Developer,Deepika Kangokar,"Xamarin,Android,C#"
142,Corus Infotech,Founded in 2016,10 - 50 employees,Kochi,Network Engineer - L2,Anju Krishna,"CCNA,CCNP,Firewalls,Networking,Routing,Switching,BGP,Cisco Firewalls,Cisco Routers,Cisco Switches,EIGRP,HSRP,Juniper Firewall,Juniper Routers,Juniper Switches,MPLS,OSPF"
143,Digit Insurance,Founded in 2016,500 - 1000 employees,Bangalore,Senior Software Engineer,Vaishali Chauhan,"Java,Spring Boot,Microservices"
144,Gemini,Founded in 2014,500 - 1000 employees,Gurgaon,Manager - DevOps,Sameer Chaudhary,"DevOps,AWS,Azure,Kubernetes"
145,Gemini,Founded in 2014,500 - 1000 employees,Gurgaon,Principal Engineer,Sameer Chaudhary,"AWS,Java,Azure"
146,Joveo,Founded in 2016,50 - 200 employees,"Bangalore, Hyderabad",Data Engineer,Sharon Robinson,"Hive,Python,SQL"
147,Minus Zero,Founded in 2020,10 - 50 employees,Bangalore,VP - Software,Tapish Bhattkoti,"GPU,CUDA,RTO,C++,Middleware"
148,Tork Motors,Founded in 2010,50 - 200 employees,Pune,Backend Developer - Cloud,Priyanka Kumari,"Google Cloud,CI - CD,Network Security,Python,DevOps"
149,WeSquare,Founded in 2014,10 - 50 employees,Hyderabad,Oracle Service Cloud Consultant,Dantuluri Venkata Divya,"Oracle RightNow,Oracle Service Cloud,ServiceNow"
150,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Data Engineer,Manju Kumari,"Snowflake,AWS,ETL"
151,Blue Yonder,Founded in 1985,More than 1000 employees,Hyderabad,Data Scientist,Pavani Kollli,"Machine Learning,NLP,Python,R,Keras,NLTK,PyTorch,Scikit-learn,spaCy,TensorFlow"
152,NoBroker,Founded in 2014,More than 1000 employees,Bangalore,Product Manager,Hema K,Product Management
153,Presto Apps,Founded in 2014,10 - 50 employees,Delhi,Testing Lead - Java / . .NET,Muskan Sonkhla,"Java,Selenium,API Testing,.NET,JMeter"
154,Technocrats Horizons,Founded in 2010,10 - 50 employees,Ludhiana,Project Manager,Trupti Desai,"Project Management,Vendor Management,Networking,Windows,Product Lifecycle Management"
155,TechSnitch,Founded in 2023,50 - 200 employees,Delhi,ServiceNow Developer,Sagarika Padhi,"ServiceNow,JavaScript,HTML,CSS"
156,TVS Credit Services,Founded in 2009,More than 1000 employees,Chennai,AVP Consultant,Krishanu B,"DevOps,Architecture,Microservices"
157,Viacom18,Founded in 2007,More than 1000 employees,Bangalore,Golang Developer,Shivaputrayya Jiddimani,"Golang,Data Structures,Multithreading,Algorithms"
158,WebileApps,Founded in 2011,10 - 50 employees,Hyderabad,Quality Analyst,Dileep Teja,"Manual Testing,Mobile Apps Testing,Performance Testing"
159,WorkSpan,Founded in 2014,50 - 200 employees,Bangalore,Sr. Devsecops Engineer - Security Specialist,Rajni Thakur,"AWS,Azure,ICH-GCP,SOC,DevOps"
160,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Databricks Developer,Manju Kumari,"Azure Data Factory,Scala,Azure,Databricks"
161,Amantya Technologies,Founded in 2018,200 - 500 employees,Bangalore,Xamarin Developer (Android Exp),Manju Kumari,"Xamarin,Android,C#,Xamarin.Forms"
162,Annalect,Founded in 2010,More than 1000 employees,Chennai,Manager - Creative Project Management,Shanmuga Priya G,"Project Management,Key Account Management,Graphic Design,Stakeholder Management"
163,Annalect,Founded in 2010,More than 1000 employees,Gurgaon,Specialist - Project Management,Shanmuga Priya G,"Project Management,Graphic Design,Key Account Management,Stakeholder Management"
164,Avataar,Founded in 2014,200 - 500 employees,Bangalore,Fullstack Manager,Sharique Mobin,"Java,JavaScript,Node.js,React.js"
165,Digit Insurance,Founded in 2016,500 - 1000 employees,Bangalore,Java Developer,Arpita Dey,"Java,Spring Boot,REST Assured,Database Development,Microservices"
166,Jodo,Founded in 2020,200 - 500 employees,Bangalore,Engineering Lead - Platform,Johnbabu Koppolu,"Build Tools,CI - CD,Linux,AWS"
167,TA Digital,Founded in 2000,500 - 1000 employees,Hyderabad,Full Stack Developer - Java (Internship),Archana Manne,"Java,Spring Boot,React.js,Docker,Kubernetes"
168,Verizon Communications,Founded in 1983,More than 1000 employees,Chennai,Full Stack Developer - Java,Gopikrishnan Kg,"React.js,Spring Boot,Java,Microservices"
169,WeRize,Founded in 2019,50 - 200 employees,Bangalore,Associate Director Product Management,Suhail,"Product Management,Product Lifecycle Management,Loans"
170,3one4 Capital,Founded in 2015,10 - 50 employees,Bangalore,Graphic Designer,Blessy Fernandes,"Photoshop,Illustrator,InDesign,Typography,Graphic Design"
171,Annalect,Founded in 2010,More than 1000 employees,Bangalore,3 - D Generalist,Ankush Thakur,"Autodesk Maya,3ds Max,Cinema 4D,3D Animation"
172,Annalect,Founded in 2010,More than 1000 employees,Bangalore,Analyst - Project Management,Shanmuga Priya G,"Project Management,Key Account Management,Stakeholder Management,Adobe Creative Cloud,Graphic Design"
173,Annalect,Founded in 2010,More than 1000 employees,Mumbai,Senior - Project Management,Shanmuga Priya G,"Project Management,Key Account Management,Stakeholder Management,Graphic Design"
174,Awign,Founded in 2016,200 - 500 employees,Bangalore,Principal Fullstack Developer - Java,Deepa Rani,"Java,JavaScript,React.js"
175,Capillary Technologies,Founded in 2008,200 - 500 employees,Bangalore,Project Manager,Anita Mariam Jacob,"Agile,PMP,Program Management,Project Management,Scrum,IT Project Management"
176,GoKiwi,Founded in 2022,10 - 50 employees,Bangalore,Product Designer Manager,Gurleen Kaur Sudan,"UX Design,Visual Design,Wireframing,Copy Writing,Usability Testing"
177,Lumen Technologies,Founded in 1968,More than 1000 employees,Mumbai,SAP ABAP Consultant,Krishna Kanabur,"SAP ABAP,Technical Consulting,Functional Consulting,IDOC,OData"
178,myGate,Founded in 2016,500 - 1000 employees,Gurgaon,Brand Manager - Advertisement Space Sales,Priyanka Patra,"Corporate Sales,Display Advertising,Print Advertising,Field Work,Print Media"
179,Noodle.ai,Founded in 2016,200 - 500 employees,Bangalore,Technical Support Engineer,Prutha Yale,"IT Support,Linux,Technical Support,Windows"
180,Algo8 AI,Founded in 2018,50 - 200 employees,Noida,Senior Back - End Developer,Shantanu Mishra,"Node.js,Python,Flask"
